time,joint_positions
0.187,"array('d', [-1.75861068084515, 1.428297799752544, -2.0493293834207766, 2.206849373558434, 1.618477930089647, 1.3727482980972672])"
0.188,"array('d', [-1.7575299127037136, 1.4287926328875766, -2.049604354211889, 2.206327090640368, 1.617592020893011, 1.3739744839921886])"
0.189,"array('d', [-1.7564536126476815, 1.4292795680652057, -2.0498805595623613, 2.2058169534414707, 1.616722203669228, 1.3751956506087888])"
0.19,"array('d', [-1.7553818594093433, 1.4297586202042838, -2.0501579374396792, 2.2053188931131578, 1.6158681949258342, 1.3764116888443263])"
0.191,"array('d', [-1.754314729480325, 1.430229805942402, -2.050436427414474, 2.2048328396490207, 1.615029715838679, 1.3776224929119434])"
0.192,"array('d', [-1.7532522971397866, 1.4306931435898131, -2.050715970636489, 2.2043587219299643, 1.6142064921860224, 1.3788279602892013])"
0.193,"array('d', [-1.7521946344825565, 1.4311486530841064, -2.050996509810223, 2.2038964677680726, 1.6133982542832253, 1.3800279916670224])"
0.194,"array('d', [-1.7511418114471946, 1.4315963559456222, -2.0512779891703024, 2.203446003949252, 1.6126047369180376, 1.3812224908990487])"
0.195,"array('d', [-1.7500938958439785, 1.4320362752336018, -2.051560354456621, 2.2030072562747, 1.6118256792864933, 1.3824113649514231])"
0.196,"array('d', [-1.7490509533828074, 1.4324684355030621, -2.0518435528892907, 2.202580149601244, 1.6110608249294156, 1.3835945238529987])"
